time000000000,tempf012010000,tempf020010000,tempf114010000,tempf124010000,tempf134010000,tempf144010000,tempf117010000,tempf127010000,tempf137010000,tempf147010000,tempf202010000,tempf250010000,mflowj022010000,mflowj010010000,mflowj112010000,mflowj122010000,mflowj132010000,mflowj142010000,mflowj201000000,mflowj255000000,p010010000,p022010000,p110010000,p120010000,p130010000,p140010000,p112010000,p122010000,p132010000,p142010000,p204010000,p250010000,p218010000,p228010000,p238010000,p248010000,cntrlvar000000101,cntrlvar000000102,cntrlvar000000104,cntrlvar000000103,cntrlvar000000105,p026050000,q026010000
15,547.7067,566.5336,576.2795,576.2795,576.2795,576.2795,541.2737,541.2737,541.2737,541.2737,373.2495,509.209,1056.874,1085.073,271.608,271.608,271.608,271.608,89,87.17967,14232120,14162040,14110240,14110240,14110240,14110240,14228820,14228820,14228820,14228820,4633468,3120921,3121990,3121990,3121990,3121990,11487820,78773100,50060620,90260930,200242500,14069930,10055000
16,545.9145,564.4025,575.3448,575.3448,575.3448,575.3448,540.91,540.91,540.91,540.91,373.2492,509.1664,1061.731,1085.022,271.9384,271.9384,271.9384,271.9384,89,86.3457,14133570,14063200,14011230,14011230,14011230,14011230,14130250,14130250,14130250,14130250,4630382,3118387,3119431,3119431,3119431,3119431,11446730,78491290,49547330,89938020,198189300,13970660,10052390
17,544.4883,562.5506,573.9842,573.9842,573.9842,573.9842,540.3,540.3,540.3,540.3,373.2489,509.0988,1067.107,1086.176,272.5929,272.5929,272.5929,272.5929,89,85.11407,14044450,13973750,13921530,13921530,13921530,13921530,14041130,14041130,14041130,14041130,4625630,3114542,3115547,3115547,3115547,3115547,11399940,78170490,48775070,89570430,195100300,13880870,10049000
18,543.4186,561.0458,572.3149,572.3149,572.3149,572.3149,539.4679,539.4679,539.4679,539.4679,373.2485,509.0181,1073.19,1089.913,273.8936,273.8936,273.8936,273.8936,89,83.77777,14018510,13947290,13894620,13894620,13894620,13894620,14014890,14014890,14014890,14014890,4619588,3110020,3110979,3110979,3110979,3110979,11350520,77829940,47824640,89180470,191298500,13791980,10165510
19,542.5212,559.7503,570.2344,570.2344,570.2344,570.2344,538.3348,538.3348,538.3348,538.3348,373.248,508.9205,1078.59,1091.58,274.4727,274.4727,274.4727,274.4727,89,82.12734,13666570,13595120,13542180,13542180,13542180,13542180,13663190,13663190,13663190,13663190,4612259,3104526,3105428,3105428,3105428,3105428,11323140,77643560,46632830,88966700,186531300,13480700,10089770
20,541.863,558.7784,568.1947,568.1947,568.1947,568.1947,537.1358,537.1358,537.1358,537.1358,373.2475,508.829,1083.141,1095.618,275.5787,275.5787,275.5787,275.5787,89,80.70152,13540590,13468840,13415600,13415600,13415600,13415600,13537300,13537300,13537300,13537300,4605714,3099537,3100388,3100388,3100388,3100388,11295070,77451370,45526630,88746440,182106500,13370570,9846186
21,541.2972,558.0301,566.3054,566.3054,566.3054,566.3054,535.9263,535.9263,535.9263,535.9263,373.2472,508.7603,1087.001,1100.017,276.7408,276.7408,276.7408,276.7408,89,79.74966,13483660,13411640,13358140,13358140,13358140,13358140,13480440,13480440,13480440,13480440,4600941,3095864,3096678,3096678,3096678,3096678,11282020,77361940,44684550,88643960,178738200,13320470,10026400
22,540.7231,557.4034,564.5754,564.5754,564.5754,564.5754,534.6411,534.6411,534.6411,534.6411,373.2471,508.7176,1090.458,1104.43,277.8657,277.8657,277.8657,277.8657,89,79.28046,13445130,13372840,13319090,13319090,13319090,13319090,13441930,13441930,13441930,13441930,4599298,3093704,3094506,3094506,3094506,3094506,11281170,77356100,44251370,88637270,177005500,13281560,10029000
23,540.0785,556.8042,563.0588,563.0588,563.0588,563.0588,533.3211,533.3211,533.3211,533.3211,373.2468,508.6979,1093.5,1108.693,278.7404,278.7404,278.7404,278.7404,89,80.94637,13417380,13344830,13290850,13290850,13290850,13290850,13414180,13414180,13414180,13414180,4595108,3092466,3093216,3093216,3093216,3093216,11289190,77411090,43049320,88700280,172197300,13251470,10024220
24,539.3147,556.162,561.7697,561.7697,561.7697,561.7697,532.4686,532.4686,532.4686,532.4686,373.2464,508.6029,1096.036,1112.55,279.3831,279.3831,279.3831,279.3831,89,78.82144,13397530,13324760,13270610,13270610,13270610,13270610,13394360,13394360,13394360,13394360,4589586,3087174,3087880,3087880,3087880,3087880,11302110,77499650,42063000,88801750,168252000,13232270,10017120
25,538.4362,555.4362,560.7051,560.7051,560.7051,560.7051,531.829,531.829,531.829,531.829,373.2463,508.5732,1098.337,1115.432,279.8391,279.8391,279.8391,279.8391,89,79.79546,13386870,13313890,13259610,13259610,13259610,13259610,13383710,13383710,13383710,13383710,4587868,3085778,3086458,3086458,3086458,3086458,11316850,77600710,41270590,88917560,165082400,13221030,10009940
