time000000000,tempf012010000,tempf020010000,tempf114010000,tempf124010000,tempf134010000,tempf144010000,tempf117010000,tempf127010000,tempf137010000,tempf147010000,tempf202010000,tempf250010000,mflowj022010000,mflowj010010000,mflowj112010000,mflowj122010000,mflowj132010000,mflowj142010000,mflowj201000000,mflowj255000000,p010010000,p022010000,p110010000,p120010000,p130010000,p140010000,p112010000,p122010000,p132010000,p142010000,p204010000,p250010000,p218010000,p228010000,p238010000,p248010000,cntrlvar000000101,cntrlvar000000102,cntrlvar000000104,cntrlvar000000103,cntrlvar000000105,p026050000,q026010000
15,546.5204,562.8864,573.696,573.696,573.696,573.696,539.7768,539.7768,539.7768,539.7768,373.2489,509.1109,1063.064,1092.923,273.6166,273.6166,273.6166,273.6166,89,86.43507,14142950,14072300,14020260,14020260,14020260,14020260,14139740,14139740,14139740,14139740,4626078,3115441,3116443,3116443,3116443,3116443,9554612,65516890,48617890,75071500,194471600,13981170,10054460.0
16,544.5821,560.5751,572.6926,572.6926,572.6926,572.6926,539.3536,539.3536,539.3536,539.3536,373.2487,509.0663,1068.239,1092.779,273.9489,273.9489,273.9489,273.9489,89,85.53352,14042930,13971960,13919750,13919750,13919750,13919750,14039690,14039690,14039690,14039690,4622618,3112786,3113761,3113761,3113761,3113761,9509471,65207350,48079120,74716820,192316500,13880820,10053050.0
17,543.0652,558.528,571.2276,571.2276,571.2276,571.2276,538.6611,538.6611,538.6611,538.6611,373.2483,508.9962,1074.008,1093.99,274.6462,274.6462,274.6462,274.6462,89,84.16695,13951490,13880180,13827700,13827700,13827700,13827700,13948250,13948250,13948250,13948250,4617406,3108772,3109708,3109708,3109708,3109708,9454760,64832190,47274660,74286950,189098700,13789610,10050340.0
18,541.9317,556.848,569.3738,569.3738,569.3738,569.3738,537.7075,537.7075,537.7075,537.7075,373.2479,508.9089,1080.066,1096.546,275.6269,275.6269,275.6269,275.6269,89,82.52666,13869110,13797420,13744600,13744600,13744600,13744600,13865880,13865880,13865880,13865880,4611114,3103867,3104755,3104755,3104755,3104755,9403603,64481410,46275560,73885020,185102200,13706830,10045960.0
19,541.0322,555.4846,567.1102,567.1102,567.1102,567.1102,536.4713,536.4713,536.4713,536.4713,373.2474,508.8113,1086.009,1098.875,276.4108,276.4108,276.4108,276.4108,89,80.68004,13590270,13518250,13465030,13465030,13465030,13465030,13587140,13587140,13587140,13587140,4604034,3098391,3099226,3099226,3099226,3099226,9372522,64268510,45129080,73641030,180516300,13445920,10092840.0
20,540.3549,554.4911,564.8549,564.8549,564.8549,564.8549,535.1062,535.1062,535.1062,535.1062,373.247,508.7362,1090.579,1104.53,278.1357,278.1357,278.1357,278.1357,89,79.16542,13466040,13393670,13340140,13340140,13340140,13340140,13462910,13462910,13462910,13462910,4598358,3094074,3094866,3094866,3094866,3094866,9337899,64030900,44256580,73368790,177026300,13307880,9912025.0
21,539.7562,553.7302,562.8092,562.8092,562.8092,562.8092,533.577,533.577,533.577,533.577,373.2467,508.6845,1095.088,1109.305,279.2937,279.2937,279.2937,279.2937,89,79.89458,13412560,13339860,13286000,13286000,13286000,13286000,13409430,13409430,13409430,13409430,4594371,3091423,3092171,3092171,3092171,3092171,9325377,63945040,43083530,73270420,172334100,13252160,10028590.0
22,539.1231,553.086,560.9404,560.9404,560.9404,560.9404,532.26,532.26,532.26,532.26,373.2462,508.5681,1098.823,1114.417,280.3336,280.3336,280.3336,280.3336,89,77.27934,13377140,13304140,13250010,13250010,13250010,13250010,13374040,13374040,13374040,13374040,4586618,3084748,3085439,3085439,3085439,3085439,9326330,63951550,41676670,73277870,166706700,13213320,10028180.0
23,538.3921,552.4548,559.2678,559.2678,559.2678,559.2678,531.2872,531.2872,531.2872,531.2872,373.2459,508.4987,1102.104,1118.846,281.1609,281.1609,281.1609,281.1609,89,77.572,13350470,13277190,13222820,13222820,13222820,13222820,13347400,13347400,13347400,13347400,4582649,3081461,3082110,3082110,3082110,3082110,9338271,64033430,40481180,73371700,161924700,13184900,10023930.0
24,537.5269,551.7598,557.8322,557.8322,557.8322,557.8322,530.4586,530.4586,530.4586,530.4586,373.2457,508.4578,1104.865,1122.394,281.8077,281.8077,281.8077,281.8077,89,78.31202,13333310,13259780,13205230,13205230,13205230,13205230,13330260,13330260,13330260,13330260,4579662,3079236,3079851,3079851,3079851,3079851,9355088,64148750,39467410,73503840,157869600,13167050,10016270.0
25,536.5337,550.9544,556.6625,556.6625,556.6625,556.6625,529.7557,529.7557,529.7557,529.7557,373.2455,508.4226,1107.266,1125.124,282.282,282.282,282.282,282.282,89,78.96998,13323790,13250030,13195350,13195350,13195350,13195350,13320750,13320750,13320750,13320750,4577390,3077370,3077958,3077958,3077958,3077958,9372454,64267820,38630240,73640270,154521000,13157380,10009710.0
26,535.4575,550.0303,555.7057,555.7057,555.7057,555.7057,529.1742,529.1742,529.1742,529.1742,373.2456,508.4166,1109.504,1127.176,282.6192,282.6192,282.6192,282.6192,89,82.16448,13320440,13246470,13191680,13191680,13191680,13191680,13317410,13317410,13317410,13317410,4577788,3078050,3078623,3078623,3078623,3078623,9384799,64352480,37916170,73737280,151664700,13154300,10004500.0
27,534.3602,548.9858,554.8875,554.8875,554.8875,554.8875,528.6917,528.6917,528.6917,528.6917,373.2454,508.4051,1111.702,1128.741,282.903,282.903,282.903,282.903,89,81.69878,13324160,13249990,13195120,13195120,13195120,13195120,13321120,13321120,13321120,13321120,4575141,3076158,3076710,3076710,3076710,3076710,9388668,64379000,37378990,73767670,149516000,13157790,9997568.0
28,533.2986,547.9001,554.1295,554.1295,554.1295,554.1295,528.2458,528.2458,528.2458,528.2458,373.2452,508.3639,1114.001,1129.998,283.1638,283.1638,283.1638,283.1638,89,81.14568,13335230,13260880,13205910,13205910,13205910,13205910,13332180,13332180,13332180,13332180,4572642,3074081,3074618,3074618,3074618,3074618,9384688,64351710,36870950,73736400,147483800,13168720,9994778.0
29,532.313,546.8293,553.3608,553.3608,553.3608,553.3608,527.8226,527.8226,527.8226,527.8226,373.2451,508.3347,1116.432,1131.162,283.4469,283.4469,283.4469,283.4469,89,81.09109,13352210,13277680,13222620,13222620,13222620,13222620,13349160,13349160,13349160,13349160,4570648,3072524,3073047,3073047,3073047,3073047,9375347,64287650,36367600,73663000,145470400,13185210,9991823.0
30,531.4257,545.8179,552.5324,552.5324,552.5324,552.5324,527.3851,527.3851,527.3851,527.3851,373.2449,508.3049,1118.978,1132.38,283.7815,283.7815,283.7815,283.7815,89,80.91428,13373720,13299000,13243820,13243820,13243820,13243820,13370670,13370670,13370670,13370670,4568500,3070820,3071328,3071328,3071328,3071328,9362514,64199660,35836350,73562170,143345400,13206170,9989639.0
31,530.6418,544.8936,551.6255,551.6255,551.6255,551.6255,526.91,526.91,526.91,526.91,373.2448,508.2713,1121.59,1133.767,284.1774,284.1774,284.1774,284.1774,89,80.67751,13399140,13324240,13268930,13268930,13268930,13268930,13396100,13396100,13396100,13396100,4566146,3068930,3069422,3069422,3069422,3069422,9348878,64106150,35254770,73455030,141019100,13231000,9987971.0
32,529.9531,544.0681,550.6486,550.6486,550.6486,550.6486,526.3933,526.3933,526.3933,526.3933,373.2446,508.2337,1124.197,1135.356,284.6241,284.6241,284.6241,284.6241,89,80.26414,13427740,13352650,13297200,13297200,13297200,13297200,13424700,13424700,13424700,13424700,4563449,3066778,3067255,3067255,3067255,3067255,9335906,64017200,34626740,73353110,138507000,13259180,9986363.0
33,529.3318,543.3387,549.6187,549.6187,549.6187,549.6187,525.8412,525.8412,525.8412,525.8412,373.2444,508.192,1126.751,1137.166,285.1116,285.1116,285.1116,285.1116,89,79.72143,13458860,13383580,13327980,13327980,13327980,13327980,13455830,13455830,13455830,13455830,4560494,3064435,3064897,3064897,3064897,3064897,9325095,63943070,33966320,73268160,135865300,13289880,9984743.0
34,528.7793,542.704,548.5768,548.5768,548.5768,548.5768,525.2842,525.2842,525.2842,525.2842,373.2443,508.1475,1129.682,1139.925,285.8254,285.8254,285.8254,285.8254,89,79.46596,13530050,13454480,13398640,13398640,13398640,13398640,13526830,13526830,13526830,13526830,4559220,3062150,3062612,3062612,3062612,3062612,9314003,63866000,33281670,73180010,133126700,13313870,10245920.0
