time000000000,tempf012010000,tempf020010000,tempf114010000,tempf124010000,tempf134010000,tempf144010000,tempf117010000,tempf127010000,tempf137010000,tempf147010000,tempf202010000,tempf250010000,mflowj022010000,mflowj010010000,mflowj112010000,mflowj122010000,mflowj132010000,mflowj142010000,mflowj201000000,mflowj255000000,p010010000,p022010000,p110010000,p120010000,p130010000,p140010000,p112010000,p122010000,p132010000,p142010000,p204010000,p250010000,p218010000,p228010000,p238010000,p248010000,cntrlvar000000101,cntrlvar000000102,cntrlvar000000104,cntrlvar000000103,cntrlvar000000105,p026050000,q026010000
0,558.1688,596.9468,596.5775,596.5775,596.5775,596.5775,558.1667,558.1667,558.1667,558.1667,373.15,507.0723,1006.1,1006.1,252.0,252.0,251.0,251.0,89,0.0,15533600,15517400,15499000,15499000,15499000,15499000,15518000,15518000,15518000,15518000,3190000,3004400,3000000,3000000,3000000,3000000,25200250,172800500,7443228,198000800,29772910,15488600,0.0
1,558.1997,594.6597,597.0253,597.0253,597.027,597.0253,572.3061,572.3061,572.3102,572.3088,373.2451,508.0121,996.3956,1017.041,245.5032,245.5032,245.5011,245.5039,89,53.95223,15626290,15560880,15511650,15511650,15511650,15511650,15623460,15623460,15623460,15623460,4571508,3055653,3056016,3056016,3056019,3056018,25250710,173147500,38792480,198398300,155169900,15585240,489.0849
2,558.1883,593.5363,597.08,597.08,597.0804,597.08,567.0038,567.0038,567.0015,567.0016,373.2493,508.9526,1005.986,988.1392,247.0343,247.0343,247.0345,247.035,89,73.15092,15736520,15671180,15621160,15621160,15621160,15621160,15732890,15732890,15732890,15732890,4630924,3107612,3108675,3108675,3108675,3108674,25212270,172884800,52494220,198097100,209976900,15598360,657.5293
3,558.1528,593.4683,597.0445,597.0445,597.0446,597.0445,561.5384,561.5384,561.5367,561.5362,373.2507,509.4164,1005.926,990.3893,250.9611,250.9611,250.9611,250.9612,89,83.32881,15783310,15717970,15668150,15668150,15668150,15668150,15779360,15779360,15779360,15779360,4651215,3133478,3134648,3134648,3134648,3134648,25204150,172826700,54409720,198030800,217638900,15558770,1382.795
4,558.4237,593.4052,596.6432,596.6432,596.6432,596.6432,559.3396,559.3396,559.3395,559.3394,373.2507,509.4876,1004.312,998.7928,252.5544,252.5544,252.5545,252.5546,89,85.42085,15679940,15614720,15565130,15565130,15565130,15565130,15676280,15676280,15676280,15676280,4651666,3137467,3138746,3138746,3138746,3138746,25162200,172538700,54887440,197700900,219549800,15516960,2351.065
5,559.2023,593.5386,595.8908,595.8908,595.8908,595.8908,558.1358,558.1358,558.1354,558.1353,373.251,509.596,1008.273,1002.494,252.692,252.692,252.692,252.6921,89,87.91402,15615280,15550000,15499940,15499940,15499940,15499940,15611560,15611560,15611560,15611560,4656096,3143543,3144831,3144831,3144831,3144831,25115520,172219800,55058780,197335300,220235100,15466880,3636.983
6,560.1584,594.0497,595.0399,595.0399,595.0399,595.0399,557.1964,557.1964,557.1962,557.1962,373.2509,509.5797,1010.969,1008.174,253.5524,253.5524,253.5524,253.5525,89,87.75252,15588460,15523080,15472680,15472680,15472680,15472680,15584670,15584670,15584670,15584670,4654010,3142628,3143909,3143909,3143909,3143909,25089340,172040200,54720300,197129600,218881200,15424820,5094.744
7,560.839,594.7934,594.3307,594.3307,594.3307,594.3307,556.4783,556.4783,556.4781,556.4781,373.2508,509.5683,1011.586,1013.181,254.4495,254.4495,254.4496,254.4496,89,87.6419,15571220,15505800,15455230,15455230,15455230,15455230,15567450,15567450,15567450,15567450,4652782,3141989,3143266,3143266,3143266,3143266,25111770,172193900,54550320,197305700,218201300,15401300,6586.991
8,561.0423,595.424,593.904,593.904,593.904,593.904,555.9081,555.9081,555.9081,555.9081,373.2507,509.5429,1010.643,1016.614,254.9572,254.9572,254.9572,254.9572,89,87.28477,15550260,15484830,15434210,15434210,15434210,15434210,15546520,15546520,15546520,15546520,4651024,3140566,3141858,3141858,3141858,3141858,25168230,172580900,54362550,197749100,217450200,15381970,8298.805
9,560.775,595.7152,593.7767,593.7767,593.7767,593.7767,555.5734,555.5734,555.5734,555.5734,373.2507,509.5449,1009.005,1018.398,255.032,255.032,255.032,255.032,89,87.53971,15527820,15462390,15411800,15411800,15411800,15411800,15524090,15524090,15524090,15524090,4651083,3140676,3141970,3141970,3141970,3141970,25228890,172996900,54361220,198225800,217444900,15363490,10364.37
10,560.1733,595.6124,593.9341,593.9341,593.9341,593.9341,555.4342,555.4342,555.4341,555.4341,373.2508,509.5588,1007.354,1018.862,254.7753,254.7753,254.7753,254.7753,89,87.90453,15507300,15441860,15391380,15391380,15391380,15391380,15503550,15503550,15503550,15503550,4652316,3141460,3142762,3142762,3142762,3142762,25274100,173307000,54542760,198581100,218171100,15343800,12841.52
11,559.3774,595.1892,594.3022,594.3022,594.3022,594.3022,555.454,555.454,555.454,555.454,373.2509,509.5922,1006.017,1018.343,254.3776,254.3776,254.3776,254.3776,89,88.73849,15482250,15416800,15366500,15366500,15366500,15366500,15478460,15478460,15478460,15478460,4654550,3143332,3144651,3144651,3144651,3144651,25297880,173470000,54794620,198767900,219178500,15317750,15820.99
12,558.5363,594.5562,594.7429,594.7429,594.7429,594.7429,555.611,555.611,555.611,555.611,373.251,509.6163,1005.285,1017.21,253.939,253.939,253.939,253.939,89,89.22976,15450220,15384800,15334670,15334670,15334670,15334670,15446410,15446410,15446410,15446410,4656262,3144685,3146017,3146017,3146017,3146017,25304660,173516500,55029780,198821100,220119100,15285390,171757.6
13,557.758,593.8463,595.0988,595.0988,595.0988,595.0988,555.8439,555.8439,555.8439,555.8439,373.2511,509.6393,1005.358,1015.883,253.5991,253.5991,253.5991,253.5991,89,89.63824,15422830,15357410,15307400,15307400,15307400,15307400,15419000,15419000,15419000,15419000,4657802,3145972,3147315,3147315,3147315,3147315,25298300,173472800,55215050,198771200,220860200,15256840,5395512.0
14,557.1006,593.156,595.2515,595.2515,595.2515,595.2515,556.0457,556.0457,556.0457,556.0457,373.2512,509.6488,1006.185,1014.683,253.4244,253.4244,253.4244,253.4244,89,89.74191,15398670,15333220,15283270,15283270,15283270,15283270,15394840,15394840,15394840,15394840,4658401,3146506,3147854,3147854,3147854,3147854,25285310,173383800,55276270,198669100,221105100,15232460,8323762.0
15,556.589,592.5387,595.1639,595.1639,595.1639,595.1639,556.1461,556.1461,556.1461,556.1461,373.2512,509.644,1008.726,1012.432,252.9057,252.9057,252.9057,252.9057,89,89.55663,15366250,15300730,15250630,15250630,15250630,15250630,15362370,15362370,15362370,15362370,4657971,3146239,3147557,3147557,3147557,3147557,25274970,173313500,55200370,198588400,220801500,15209860,9399894.0
16,556.2411,592.046,594.8752,594.8752,594.8752,594.8752,556.1193,556.1193,556.1193,556.1193,373.2511,509.6278,1010.154,1013.517,253.4937,253.4937,253.4937,253.4937,89,89.2334,15361240,15295590,15245460,15245460,15245460,15245460,15357330,15357330,15357330,15357330,4656936,3145329,3146636,3146636,3146636,3146636,25252280,173157400,55039670,198409600,220158700,15187650,10000870.0
17,556.0298,591.6664,594.4135,594.4135,594.4135,594.4135,555.9347,555.9347,555.9347,555.9347,373.2509,509.6014,1011.489,1014.766,254.0993,254.0993,254.0993,254.0993,89,88.70516,15343440,15277690,15227530,15227530,15227530,15227530,15339590,15339590,15339590,15339590,4655074,3143846,3145139,3145139,3145139,3145139,25231760,173016400,54810230,198248200,219240900,15172540,9971360.0
18,555.9305,591.4058,593.8652,593.8652,593.8652,593.8652,555.6369,555.6369,555.6369,555.6369,373.2508,509.5728,1013.301,1015.814,254.5189,254.5189,254.5189,254.5189,89,88.21655,15325260,15259410,15209130,15209130,15209130,15209130,15321450,15321450,15321450,15321450,4653184,3142242,3143521,3143521,3143521,3143521,25217380,172917900,54554040,198135300,218216100,15160260,9989690.0
19,555.9024,591.2474,593.2958,593.2958,593.2958,593.2958,555.2681,555.2681,555.2681,555.2681,373.2507,509.5479,1015.234,1016.952,254.8531,254.8531,254.8531,254.8531,89,87.89636,15304680,15238720,15188280,15188280,15188280,15188280,15300880,15300880,15300880,15300880,4651633,3140844,3142110,3142110,3142110,3142110,25209040,172860800,54302780,198069900,217211100,15141600,9793265.0
20,555.9015,591.1635,592.7582,592.7582,592.7582,592.7582,554.8668,554.8668,554.8668,554.8668,373.2506,509.5257,1016.799,1018.432,255.2408,255.2408,255.2408,255.2408,89,87.58093,15281010,15214950,15164380,15164380,15164380,15164380,15277210,15277210,15277210,15277210,4649959,3139600,3140861,3140861,3140861,3140861,25205110,172833900,54160880,198039000,216643500,15116320,9920496.0
21,555.8855,591.1165,592.2867,592.2867,592.2867,592.2867,554.4393,554.4393,554.4393,554.4393,373.2505,509.5065,1017.901,1020.006,255.6004,255.6004,255.6004,255.6004,89,87.41772,15249320,15183180,15132500,15132500,15132500,15132500,15245520,15245520,15245520,15245520,4648717,3138526,3139778,3139778,3139778,3139778,25206030,172840200,54010260,198046200,216041000,15083670,9992632.0
22,555.8232,591.0709,591.8998,591.8998,591.8998,591.8998,554.0513,554.0513,554.0513,554.0513,373.2505,509.4978,1018.621,1021.45,255.8929,255.8929,255.8929,255.8929,89,87.46693,15208400,15142190,15091440,15091440,15091440,15091440,15204590,15204590,15204590,15204590,4648124,3138037,3139306,3139306,3139306,3139306,25210890,172873500,53952720,198084400,215810900,15042840,10016140.0
23,555.6984,590.9999,591.6055,591.6055,591.6055,591.6055,553.7049,553.7049,553.7049,553.7049,373.2505,509.4992,1019.013,1022.728,256.1316,256.1316,256.1316,256.1316,89,87.64914,15162640,15096390,15045590,15045590,15045590,15045590,15158830,15158830,15158830,15158830,4648076,3138119,3139392,3139392,3139392,3139392,25217860,172921300,54023890,198139100,216095600,14997120,10023280.0
24,555.5088,590.8868,591.3987,591.3987,591.3987,591.3987,553.4028,553.4028,553.4028,553.4028,373.2505,509.5051,1019.26,1023.708,256.2997,256.2997,256.2997,256.2997,89,87.81531,15117940,15051660,15000840,15000840,15000840,15000840,15114140,15114140,15114140,15114140,4648432,3138448,3139722,3139722,3139722,3139722,25225570,172974200,54005330,198199800,216021300,14952460,10023250.0
25,555.2624,590.725,591.2627,591.2627,591.2627,591.2627,553.1526,553.1526,553.1526,553.1526,373.2505,509.5108,1019.415,1024.501,256.4183,256.4183,256.4183,256.4183,89,87.98667,15078650,15012330,14961520,14961520,14961520,14961520,15074830,15074830,15074830,15074830,4648740,3138766,3140042,3140042,3140042,3140042,25232540,173022000,54054710,198254500,216218800,14913000,10020010.0
26,554.9744,590.5167,591.1718,591.1718,591.1718,591.1718,552.9633,552.9633,552.9633,552.9633,373.2505,509.5188,1019.616,1025.062,256.4935,256.4935,256.4935,256.4935,89,88.18587,15046280,14979930,14929120,14929120,14929120,14929120,15042460,15042460,15042460,15042460,4649220,3139214,3140496,3140496,3140496,3140496,25238010,173059400,54127410,198297400,216509600,14880450,10015630.0
27,554.6609,590.2681,591.0945,591.0945,591.0945,591.0945,552.809,552.809,552.809,552.809,373.2506,509.5255,1019.916,1025.431,256.543,256.543,256.543,256.543,89,88.34618,15015480,14949100,14898290,14898290,14898290,14898290,15011640,15011640,15011640,15011640,4649622,3139592,3140877,3140877,3140877,3140877,25241530,173083600,54186320,198325100,216745300,14849560,10014440.0
28,554.3388,589.9904,591.0042,591.0042,591.0042,591.0042,552.6749,552.6749,552.6749,552.6749,373.2506,509.5299,1020.354,1025.682,256.586,256.586,256.586,256.586,89,88.45177,14981710,14915300,14864490,14864490,14864490,14864490,14977870,14977870,14977870,14977870,4649869,3139838,3141125,3141125,3141125,3141125,25243270,173095500,54223130,198338800,216892500,14815690,10015340.0
29,554.035,589.7011,590.9027,590.9027,590.9027,590.9027,552.567,552.567,552.567,552.567,373.2506,509.5347,1023.578,1024.047,255.8933,255.8933,255.8933,255.8933,89,88.5567,14978400,14911840,14860690,14860690,14860690,14860690,14974290,14974290,14974290,14974290,4650152,3140106,3141395,3141395,3141395,3141395,25253600,173166500,54267500,198420100,217070000,14773610,10035100.0
30,553.7346,589.3875,590.7322,590.7322,590.7322,590.7322,552.4108,552.4108,552.4108,552.4108,373.2506,509.5319,1022.057,1026.773,256.8989,256.8989,256.8989,256.8989,89,88.50784,14923020,14856450,14805550,14805550,14805550,14805550,14919040,14919040,14919040,14919040,4649860,3139951,3141222,3141222,3141222,3141222,25239450,173068900,54190190,198308300,216760800,14729440,10024840.0
31,553.4604,589.0834,590.5255,590.5255,590.5255,590.5255,552.2495,552.2495,552.2495,552.2495,373.2505,509.5247,1021.831,1027.6,257.2121,257.2121,257.2121,257.2121,89,88.40254,14864170,14797600,14746790,14746790,14746790,14746790,14860300,14860300,14860300,14860300,4649400,3139547,3140832,3140832,3140832,3140832,25233520,173028200,54185980,198261700,216743900,14687580,10021070.0
32,553.2191,588.8058,590.292,590.292,590.292,590.292,552.0701,552.0701,552.0701,552.0701,373.2505,509.5196,1022.531,1027.737,257.2712,257.2712,257.2712,257.2712,89,88.33789,14815780,14749180,14698350,14698350,14698350,14698350,14811960,14811960,14811960,14811960,4648981,3139259,3140524,3140524,3140524,3140524,25230600,173008400,54124720,198239000,216498900,14650850,10019180.0
33,553.0098,588.561,590.0424,590.0424,590.0424,590.0424,551.8749,551.8749,551.8749,551.8749,373.2505,509.5137,1023.604,1027.996,257.3347,257.3347,257.3347,257.3347,89,88.26296,14783670,14717020,14666120,14666120,14666120,14666120,14779850,14779850,14779850,14779850,4648540,3138930,3140193,3140193,3140193,3140193,25228380,172993300,54067790,198221700,216271200,14620710,10016120.0
34,552.8239,588.3436,589.7721,589.7721,589.7721,589.7721,551.6618,551.6618,551.6618,551.6618,373.2505,509.5082,1024.693,1028.459,257.4476,257.4476,257.4476,257.4476,89,88.19415,14759550,14692840,14641860,14641860,14641860,14641860,14755720,14755720,14755720,14755720,4648118,3138622,3139882,3139882,3139882,3139882,25226480,172980400,54016470,198206900,216065900,14597440,10013570.0
