"time000000000","tempf012010000","tempf020010000","tempf114010000","tempf124010000","tempf134010000","tempf144010000","tempf117010000","tempf127010000","tempf137010000","tempf147010000","tempf202010000","tempf250010000","mflowj022010000","mflowj010010000","mflowj112010000","mflowj122010000","mflowj132010000","mflowj142010000","mflowj201000000","mflowj255000000","p010010000","p022010000","p110010000","p120010000","p130010000","p140010000","p112010000","p122010000","p132010000","p142010000","p204010000","p250010000","p218010000","p228010000","p238010000","p248010000","cntrlvar000000101","cntrlvar000000102","cntrlvar000000104","cntrlvar000000103","cntrlvar000000105","p026050000","q026010000"
"0.00E+0","5.58E+2","5.97E+2","5.97E+2","5.97E+2","5.97E+2","5.97E+2","5.58E+2","5.58E+2","5.58E+2","5.58E+2","3.73E+2","5.07E+2","1.01E+3","1.01E+3","2.52E+2","2.52E+2","2.51E+2","2.51E+2","8.90E+1","0.00E+0","1.55E+7","1.55E+7","1.55E+7","1.55E+7","1.55E+7","1.55E+7","1.55E+7","1.55E+7","1.55E+7","1.55E+7","3.19E+6","3.00E+6","3.00E+6","3.00E+6","3.00E+6","3.00E+6","2.80E+7","1.92E+8","7.44E+6","2.20E+8","2.98E+7","1.55E+7","0.00E+0"
"1.00E+0","5.58E+2","5.97E+2","5.97E+2","5.97E+2","5.97E+2","5.97E+2","5.72E+2","5.72E+2","5.72E+2","5.72E+2","3.73E+2","5.08E+2","1.00E+3","1.01E+3","2.44E+2","2.44E+2","2.44E+2","2.44E+2","8.90E+1","5.41E+1","1.57E+7","1.56E+7","1.55E+7","1.55E+7","1.55E+7","1.55E+7","1.57E+7","1.57E+7","1.57E+7","1.57E+7","4.57E+6","3.06E+6","3.06E+6","3.06E+6","3.06E+6","3.06E+6","2.80E+7","1.92E+8","3.86E+7","2.20E+8","1.54E+8","1.56E+7","3.46E+2"
"2.00E+0","5.58E+2","5.97E+2","5.97E+2","5.97E+2","5.97E+2","5.97E+2","5.67E+2","5.67E+2","5.67E+2","5.67E+2","3.73E+2","5.09E+2","1.01E+3","9.84E+2","2.46E+2","2.46E+2","2.46E+2","2.46E+2","8.90E+1","7.31E+1","1.58E+7","1.58E+7","1.57E+7","1.57E+7","1.57E+7","1.57E+7","1.58E+7","1.58E+7","1.58E+7","1.58E+7","4.63E+6","3.11E+6","3.11E+6","3.11E+6","3.11E+6","3.11E+6","2.80E+7","1.92E+8","5.25E+7","2.20E+8","2.10E+8","1.57E+7","1.63E+2"
"3.00E+0","5.58E+2","5.97E+2","5.97E+2","5.97E+2","5.97E+2","5.97E+2","5.61E+2","5.61E+2","5.61E+2","5.61E+2","3.73E+2","5.09E+2","1.01E+3","9.87E+2","2.50E+2","2.50E+2","2.50E+2","2.50E+2","8.90E+1","8.32E+1","1.59E+7","1.59E+7","1.58E+7","1.58E+7","1.58E+7","1.58E+7","1.59E+7","1.59E+7","1.59E+7","1.59E+7","4.65E+6","3.13E+6","3.13E+6","3.13E+6","3.13E+6","3.13E+6","2.80E+7","1.92E+8","5.43E+7","2.20E+8","2.17E+8","1.57E+7","2.60E+2"
"4.00E+0","5.58E+2","5.97E+2","5.97E+2","5.97E+2","5.97E+2","5.97E+2","5.59E+2","5.59E+2","5.59E+2","5.59E+2","3.73E+2","5.09E+2","1.00E+3","9.96E+2","2.51E+2","2.51E+2","2.51E+2","2.51E+2","8.90E+1","8.56E+1","1.59E+7","1.58E+7","1.58E+7","1.58E+7","1.58E+7","1.58E+7","1.59E+7","1.59E+7","1.59E+7","1.59E+7","4.65E+6","3.14E+6","3.14E+6","3.14E+6","3.14E+6","3.14E+6","2.80E+7","1.92E+8","5.50E+7","2.20E+8","2.20E+8","1.57E+7","3.70E+2"
"5.00E+0","5.59E+2","5.97E+2","5.97E+2","5.97E+2","5.97E+2","5.97E+2","5.58E+2","5.58E+2","5.58E+2","5.58E+2","3.73E+2","5.10E+2","1.00E+3","9.98E+2","2.51E+2","2.51E+2","2.51E+2","2.51E+2","8.90E+1","8.86E+1","1.58E+7","1.58E+7","1.57E+7","1.57E+7","1.57E+7","1.57E+7","1.58E+7","1.58E+7","1.58E+7","1.58E+7","4.66E+6","3.15E+6","3.15E+6","3.15E+6","3.15E+6","3.15E+6","2.79E+7","1.91E+8","5.54E+7","2.19E+8","2.22E+8","1.57E+7","5.76E+2"
"6.00E+0","5.60E+2","5.98E+2","5.97E+2","5.97E+2","5.97E+2","5.97E+2","5.58E+2","5.58E+2","5.58E+2","5.58E+2","3.73E+2","5.10E+2","1.01E+3","1.00E+3","2.51E+2","2.51E+2","2.51E+2","2.51E+2","8.90E+1","8.89E+1","1.59E+7","1.58E+7","1.58E+7","1.58E+7","1.58E+7","1.58E+7","1.59E+7","1.59E+7","1.59E+7","1.59E+7","4.66E+6","3.15E+6","3.15E+6","3.15E+6","3.15E+6","3.15E+6","2.79E+7","1.91E+8","5.54E+7","2.19E+8","2.22E+8","1.57E+7","9.84E+2"
"7.00E+0","5.61E+2","5.99E+2","5.97E+2","5.97E+2","5.97E+2","5.97E+2","5.58E+2","5.58E+2","5.58E+2","5.58E+2","3.73E+2","5.10E+2","1.00E+3","1.00E+3","2.51E+2","2.51E+2","2.51E+2","2.51E+2","8.90E+1","8.91E+1","1.59E+7","1.58E+7","1.58E+7","1.58E+7","1.58E+7","1.58E+7","1.59E+7","1.59E+7","1.59E+7","1.59E+7","4.66E+6","3.15E+6","3.15E+6","3.15E+6","3.15E+6","3.15E+6","2.79E+7","1.91E+8","5.54E+7","2.19E+8","2.22E+8","1.57E+7","1.51E+3"
"8.00E+0","5.61E+2","5.99E+2","5.97E+2","5.97E+2","5.97E+2","5.97E+2","5.58E+2","5.58E+2","5.58E+2","5.58E+2","3.73E+2","5.10E+2","1.00E+3","1.01E+3","2.51E+2","2.51E+2","2.51E+2","2.51E+2","8.90E+1","8.91E+1","1.59E+7","1.58E+7","1.58E+7","1.58E+7","1.58E+7","1.58E+7","1.59E+7","1.59E+7","1.59E+7","1.59E+7","4.66E+6","3.15E+6","3.15E+6","3.15E+6","3.15E+6","3.15E+6","2.80E+7","1.92E+8","5.54E+7","2.20E+8","2.22E+8","1.57E+7","2.16E+3"
"9.00E+0","5.61E+2","6.00E+2","5.97E+2","5.97E+2","5.97E+2","5.97E+2","5.58E+2","5.58E+2","5.58E+2","5.58E+2","3.73E+2","5.10E+2","1.00E+3","1.00E+3","2.51E+2","2.51E+2","2.51E+2","2.51E+2","8.90E+1","8.92E+1","1.59E+7","1.58E+7","1.58E+7","1.58E+7","1.58E+7","1.58E+7","1.59E+7","1.59E+7","1.59E+7","1.59E+7","4.66E+6","3.15E+6","3.15E+6","3.15E+6","3.15E+6","3.15E+6","2.80E+7","1.92E+8","5.54E+7","2.20E+8","2.22E+8","1.57E+7","3.07E+3"
