time000000000,tempf012010000,tempf020010000,tempf114010000,tempf124010000,tempf134010000,tempf144010000,tempf117010000,tempf127010000,tempf137010000,tempf147010000,tempf202010000,tempf250010000,mflowj022010000,mflowj010010000,mflowj112010000,mflowj122010000,mflowj132010000,mflowj142010000,mflowj201000000,mflowj255000000,p010010000,p022010000,p110010000,p120010000,p130010000,p140010000,p112010000,p122010000,p132010000,p142010000,p204010000,p250010000,p218010000,p228010000,p238010000,p248010000,cntrlvar000000101,cntrlvar000000102,cntrlvar000000104,cntrlvar000000103,cntrlvar000000105,p026050000,q026010000
13,553.2402,575.645,580.4425,580.4425,580.4425,580.4425,544.1105,544.1105,544.1105,544.1105,373.2497,509.3078,1041.917,1073.787,268.6596,268.6596,268.6596,268.6596,89,87.06219,14603160,14534300,14482840,14482840,14482840,14482840,14599820,14599820,14599820,14599820,4636834,3126560,3127718,3127718,3127718,3127718,14277600,97902890,51874370,112180500,207497500,14440690,10050310.0
14,551.2384,573.6885,580.4248,580.4248,580.4248,580.4248,543.9456,543.9456,543.9456,543.9456,373.2498,509.3282,1044.243,1072.82,268.4139,268.4139,268.4139,268.4139,89,87.63435,14493000,14423980,14372580,14372580,14372580,14372580,14489610,14489610,14489610,14489610,4638210,3127588,3128755,3128755,3128755,3128755,14270360,97853240,51992340,112123600,207969400,14330590,10054480.0
15,549.4413,571.7574,580.0359,580.0359,580.0359,580.0359,543.7191,543.7191,543.7191,543.7191,373.2498,509.3281,1047.649,1072.247,268.4665,268.4665,268.4665,268.4665,89,87.68621,14384790,14315570,14264120,14264120,14264120,14264120,14381360,14381360,14381360,14381360,4638126,3127470,3128630,3128630,3128630,3128630,14245030,97679520,51917220,111924500,207668900,14222030,10054660.0
16,547.9038,569.9814,579.2054,579.2054,579.2054,579.2054,543.3126,543.3126,543.3126,543.3126,373.2496,509.3015,1051.963,1072.574,268.8499,268.8499,268.8499,268.8499,89,87.19038,14283610,14214130,14162530,14162530,14162530,14162530,14280160,14280160,14280160,14280160,4636262,3125923,3127067,3127067,3127067,3127067,14211740,97451250,51603660,111663000,206414600,14120220,10051760.0
17,546.6762,568.3738,577.9979,577.9979,577.9979,577.9979,542.6848,542.6848,542.6848,542.6848,373.2494,509.2602,1056.756,1073.972,269.548,269.548,269.548,269.548,89,86.37385,14193420,14123640,14071820,14071820,14071820,14071820,14189970,14189970,14189970,14189970,4633160,3123501,3124619,3124619,3124619,3124619,14172360,97181250,51078520,111353600,204314100,14029380,10047870.0
18,545.726,567.0452,576.5076,576.5076,576.5076,576.5076,541.8437,541.8437,541.8437,541.8437,373.2492,509.1996,1061.729,1076.407,270.4304,270.4304,270.4304,270.4304,89,85.32377,14111380,14041300,13989190,13989190,13989190,13989190,14107950,14107950,14107950,14107950,4629904,3120228,3121317,3121317,3121317,3121317,14136070,96932350,50516720,111068400,202066900,13946620,10044790.0
19,544.9299,565.9158,574.725,574.725,574.725,574.725,540.7736,540.7736,540.7736,540.7736,373.2492,509.153,1069.717,1076.111,270.1533,270.1533,270.1533,270.1533,89,86.3598,13841280,13770770,13718000,13718000,13718000,13718000,13837620,13837620,13837620,13837620,4630346,3118378,3119416,3119416,3119416,3119416,14125030,96857050,49453550,110982100,197814200,13661540,10104640.0
20,544.2864,565.0439,572.9266,572.9266,572.9266,572.9266,539.7547,539.7547,539.7547,539.7547,373.2485,509.0276,1071.706,1081.838,271.7671,271.7671,271.7671,271.7671,89,83.39401,13646330,13575620,13522810,13522810,13522810,13522810,13642900,13642900,13642900,13642900,4620306,3110408,3111376,3111376,3111376,3111376,14094980,96650970,48048370,110746000,192193500,13484130,10451230.0
21,543.7302,564.3632,571.3524,571.3524,571.3524,571.3524,538.8359,538.8359,538.8359,538.8359,373.2482,508.9529,1074.451,1086.509,273.0185,273.0185,273.0185,273.0185,89,82.5231,13586180,13515240,13462260,13462260,13462260,13462260,13582840,13582840,13582840,13582840,4615062,3106524,3107450,3107450,3107450,3107450,14081240,96556580,47170960,110637800,188683800,13428850,10005870.0
22,543.1615,563.7733,569.9279,569.9279,569.9279,569.9279,537.8976,537.8976,537.8976,537.8976,373.2479,508.8961,1077.421,1090.545,274.0062,274.0062,274.0062,274.0062,89,81.96873,13556600,13485410,13432230,13432230,13432230,13432230,13553280,13553280,13553280,13553280,4610697,3103390,3104280,3104280,3104280,3104280,14080500,96551370,46361870,110631900,185447500,13394230,10025940.0
23,542.5304,563.1923,568.6116,568.6116,568.6116,568.6116,537.0073,537.0073,537.0073,537.0073,373.2477,508.8525,1080.236,1093.988,274.7885,274.7885,274.7885,274.7885,89,81.62592,13525970,13454530,13401160,13401160,13401160,13401160,13522650,13522650,13522650,13522650,4607644,3101112,3101975,3101975,3101975,3101975,14087460,96599050,45770460,110686500,183081800,13361060,10025870.0
24,541.8281,562.5745,567.4888,567.4888,567.4888,567.4888,536.1489,536.1489,536.1489,536.1489,373.2476,508.8289,1082.568,1097.046,275.4984,275.4984,275.4984,275.4984,89,81.63322,13503200,13431560,13378040,13378040,13378040,13378040,13499890,13499890,13499890,13499890,4606150,3100134,3100989,3100989,3100989,3100989,14095950,96657260,45524640,110753200,182098500,13338680,10020490.0
25,541.0627,561.8992,566.5614,566.5614,566.5614,566.5614,535.2593,535.2593,535.2593,535.2593,373.2475,508.8243,1084.735,1099.6,276.0411,276.0411,276.0411,276.0411,89,81.98851,13488370,13416540,13362890,13362890,13362890,13362890,13485050,13485050,13485050,13485050,4605613,3100165,3101019,3101019,3101019,3101019,14104580,96716480,45464650,110821100,181858600,13323200,10012600.0
26,540.2503,561.165,565.7838,565.7838,565.7838,565.7838,534.4267,534.4267,534.4267,534.4267,373.2474,508.8039,1086.754,1101.978,276.4243,276.4243,276.4243,276.4243,89,83.24167,13475620,13403610,13349870,13349870,13349870,13349870,13472290,13472290,13472290,13472290,4604194,3099048,3099863,3099863,3099863,3099863,14110880,96759660,44583410,110870500,178333600,13310650,10008360.0
27,539.3972,560.3853,565.0939,565.0939,565.0939,565.0939,534.0198,534.0198,534.0198,534.0198,373.2473,508.7952,1088.655,1104.106,276.7549,276.7549,276.7549,276.7549,89,82.97589,13472120,13399950,13346130,13346130,13346130,13346130,13468790,13468790,13468790,13468790,4601805,3097625,3098420,3098420,3098420,3098420,14114700,96785820,44152940,110900500,176611800,13304910,10002240.0
28,538.5264,559.5603,564.4432,564.4432,564.4432,564.4432,533.6416,533.6416,533.6416,533.6416,373.2471,508.7469,1090.682,1105.572,277.0147,277.0147,277.0147,277.0147,89,82.32455,13474270,13401940,13348030,13348030,13348030,13348030,13470950,13470950,13470950,13470950,4599569,3095348,3096122,3096122,3096122,3096122,14117150,96802660,43671090,110919800,174684400,13308820,9999230.0
29,537.6636,558.7058,563.7898,563.7898,563.7898,563.7898,533.3023,533.3023,533.3023,533.3023,373.247,508.7342,1092.784,1106.801,277.2831,277.2831,277.2831,277.2831,89,83.02209,13483620,13411120,13357120,13357120,13357120,13357120,13480290,13480290,13480290,13480290,4598628,3094738,3095494,3095494,3095494,3095494,14116670,96799340,43211760,110916000,172847100,13317770,9995982.0
